,N,i2f,numba,cupy,segyio
0,0,1.484745000003126e-05,2.3975179938133804e-05,0.00031589542006258856,1.1534459999893443e-05
1,10,6.49066371423552e-05,0.00015059260003909004,0.0001333637200150406,0.0001455464400009987
2,20,9.618200714287793e-05,0.00023124596002162433,0.00015405827994982246,0.00020645451999826034
3,30,0.00014571286142914426,0.00026245376000588294,0.0001828628398652654,0.0002989852999985487
4,40,0.0001940765214288019,0.0003193949998967582,0.00020552004003548062,0.00036153992000208745
5,50,0.0002482982114276768,0.00038395617993955964,0.00024237507990619635,0.0005013036799982729
6,60,0.0002943343742858165,0.00045763144000375176,0.00027599085988185836,0.0005734369799984052
7,70,0.0003431914271426909,0.0005315988200891297,0.00030914790004317184,0.0009023736400013149
8,80,0.0003880513171426563,0.0006288704799953848,0.00035080858004221227,0.0007627898000009736
9,90,0.0004372132971437688,0.0006893648599361768,0.0004041469999356196,0.0008960413599993444
10,100,0.0004885835600004742,0.0007834950999676949,0.0004284074599854648,0.0008830514999976913
11,110,0.0005443046142850757,0.0008603030799713451,0.00048132630006875843,0.000961968619999425
12,120,0.0005874655428572493,0.0009374014999775683,0.0005500431600376032,0.0011670922000007523
13,130,0.0006358755928561419,0.0010454028599633603,0.0005634658000053605,0.001267330939997464
14,140,0.000688274001429688,0.0010805885999434395,0.0005959906600764952,0.001318695539998771
15,150,0.0007326372271433814,0.001180684359933366,0.0006177319599373731,0.0013183902400010084
16,160,0.0007814437228574077,0.0012536566400376615,0.0006550048799545038,0.0020954935199983993
17,170,0.0008321978185728897,0.0013231985599850304,0.0006818332999682752,0.002039230580003277
18,180,0.0008830976400011943,0.0014091031199495775,0.000730899760092143,0.0016427310999961263
19,190,0.0009227058885712073,0.0014832134001335363,0.0007622747800633079,0.0016640423399985594
20,200,0.0009745572257153461,0.001602495360057219,0.0008059047000278952,0.0025186288399982005
21,210,0.001028458898572353,0.0016405734400905202,0.000907688059960492,0.002317707419999806
22,220,0.001075614324284808,0.0017247576801310061,0.0008672088599996641,0.0019509442200001104
23,230,0.0011230281257147516,0.00182306331997097,0.0009119490799639607,0.0020817031399997174
24,240,0.0011724012771440228,0.0018713506399944892,0.0009509869400062598,0.0021263468999973157
25,250,0.0012134520999987736,0.0019649727200885536,0.001028260240054806,0.002362513579998904
26,260,0.00126611522285592,0.0020793913801026064,0.001003567740044673,0.002743129719999615
27,270,0.001321186688572717,0.0020748163400276095,0.0010459453799558105,0.0024063855400004285
28,280,0.0013734325542853704,0.0021118478599237277,0.0010736382799950662,0.0025545998399979907
29,290,0.0013876079985714438,0.0021451449800952106,0.0011326675599411828,0.0025380943799996206
30,300,0.0014201526128577566,0.00219830036003259,0.001191453479914344,0.003199782540000342
31,310,0.0014494552728566697,0.0022584371198900045,0.0012688843599607934,0.0028305058199998715
32,320,0.001483685950000628,0.0022495033000450347,0.001252051580013358,0.0034699075999992607
33,330,0.0015086210314276677,0.0022512884000752817,0.0013215443799708738,0.0032225268000024695
34,340,0.0015487905757143902,0.0022714078599528876,0.0013220843000453896,0.0032318998400023705
35,350,0.0015896322799998028,0.0023553558599815005,0.0013553786799457156,0.003102480220002235
36,360,0.0016153090642858712,0.002326269639961538,0.0013786859600804747,0.004437834500001827
37,370,0.0016410381071422567,0.0023537352200219174,0.0014727120400493733,0.00382455812000444
38,380,0.0016793700257130696,0.002370838640126749,0.0016199942200182706,0.0038477790199999617
39,390,0.0017199507214289561,0.002456730080011766,0.0015048053400823847,0.0033667339399994487
40,400,0.0017300134771442443,0.00242116649998934,0.0015495800999633502,0.003737193279998792
41,410,0.0017822257357140968,0.0024468825999792903,0.0016037607000180289,0.0035850839199974872
42,420,0.001802068245714119,0.002528469660101109,0.0017446506799751662,0.003949355900001592
43,430,0.0018480913071425675,0.002592062400071882,0.0017635875000996746,0.003668523220001134
44,440,0.0018682201314283834,0.0025188418999459827,0.0017743128600704948,0.005035769399999026
45,450,0.0019124006242847308,0.002557030640018638,0.0017391205999592783,0.003949599200000193
46,460,0.0019379137699992758,0.002575360880073276,0.0017665819000103511,0.005552161919997615
47,470,0.0019736840542853838,0.0026711741599865493,0.001808510920018307,0.004208199899996998
48,480,0.0019991417271428094,0.0026511305800522673,0.0018470269800309324,0.004413414960004048
49,490,0.002051863654284846,0.0026790744200116024,0.0019240917199203976,0.0047572021199994196
50,500,0.00207186811000156,0.00269585078000091,0.0019447244000912179,0.004410504679999576
51,510,0.002110865874286511,0.0027861459800624286,0.001965499200014165,0.005620569939999313
52,520,0.002132484111428182,0.0027554561799479414,0.001993521100084763,0.005682323519999954
53,530,0.002161842400000101,0.0027579198199237,0.00205341855995357,0.00488067823999927
54,540,0.002216597195714972,0.0028484071799903176,0.002217512999995961,0.004995070180000312
55,550,0.0022383501985723344,0.0028150538199406584,0.0021917499801202213,0.005271298979998847
56,560,0.0022596135542861315,0.002832217960021808,0.002135945039917715,0.005248639480000748
57,570,0.0022917554971438998,0.002854425679979613,0.0021695171199826294,0.004907163459999992
58,580,0.0023230388842869487,0.0029381479601579487,0.0021962778999295553,0.005655635359998997
59,590,0.0023620465071410635,0.0029009531200426862,0.0024059557799773756,0.005822386779998396
60,600,0.002403764102857297,0.0029221549799694916,0.0022650269800942625,0.005700547479998477
61,610,0.0024311373157154645,0.0030276189800497377,0.0023046317599801115,0.0058589340399998946
62,620,0.0024710540714282356,0.0030446045999997294,0.0024175203799677546,0.0068629356400015246
63,630,0.0025033791142862224,0.0030141452801035486,0.002468659480073256,0.006132674280001993
64,640,0.00252687853428597,0.003100446020034724,0.0024264912199578248,0.005698922080000557
65,650,0.0025595561971424883,0.0030755438999767646,0.002440527100043255,0.0057144640999990766
66,660,0.002599113117142094,0.0030877244001021606,0.002486910220104619,0.006216661259998091
67,670,0.0026342091685715523,0.003137697580095846,0.0027149818399630024,0.006421275859997877
68,680,0.0026603927385713175,0.003227099819996511,0.002639925939874956,0.006421348340002168
